month,max_temperature
2013-12,33.7
2014-01,31.8
2014-02,33.8
2014-03,34.4
2014-04,34.5
2014-05,33.8
2014-06,33.6
2014-07,33.2
2014-08,31.9
2014-09,33.2
2014-10,34.1
2014-11,33.4
2014-12,33.6
2015-01,32.4
2015-02,33.6
2015-03,34.4
2015-04,34.4
2015-05,34.2
2015-06,34.3
2015-07,32.7
2015-08,33.1
2015-09,33.2
2015-10,33.6
2015-11,33.6
2015-12,33.1
2016-01,32.8
2016-02,32.7
2016-03,34.1
2016-04,35
2016-05,34.6
2016-06,33.4
2016-07,33.4
2016-08,33.8
2016-09,34.4
2016-10,34.6
2016-11,32.6
2016-12,33.6
2017-01,33.7
2017-02,32.4
2017-03,33.3
2017-04,34.4
2017-05,32.8
2017-06,33
2017-07,32.4
2017-08,33
2017-09,32.4
2017-10,34.6
2017-11,32.5
2017-12,33.5
2018-01,33.2
2018-02,33.5
2018-03,34.2
2018-04,35
2018-05,34.2
2018-06,33.4
2018-07,33
2018-08,33.2
2018-09,33
2018-10,34.5
2018-11,33.4
2018-12,33.8
2019-01,33.4
2019-02,34.1
2019-03,34.8
2019-04,34.5
2019-05,34.7
2019-06,33
